City,Year,Points
Harvey,2004,203
Chicago,2004,393
Chicago,1998,255
Aurora,1954,2156
South Holland,2020,15
Washington,1995,168
Chicago,2019,103
Belleville,1992,44
Robinson,2023,2545
Niles,1995,1210
Chicago,1994,1942
Belleville,2024,4
Chicago,2018,346
Peoria,2019,5231
Chicago,1983,1694
Chicago,1970,260
Chicago,2002,2011
Melrose Park,2013,13198
Chicago,2007,5
Waukegan,2015,17700
Chicago,1976,1430
Chicago,1994,479
Chicago,2015,3481
Chicago,2010,821
Chicago,1976,37
Centralia,1955,117
Chicago,1990,22
Chicago,1999,4
Maywood,2004,204
Kewanee,1977,609
Waukegan,1986,3823
Chicago,2022,721
Chicago,2015,9
Chicago,2001,262
Kankakee,1991,72
East Dundee,1950,15
Joliet,1954,2163
Joliet,1956,10156
Chicago,1950,27
Belleville,2009,4507
Chicago,2015,295
Chicago,2016,5827
Chicago,1968,280
Mundelein,2022,2
Chicago,1988,24
Bolingbrook,2018,0
Charleston,1972,172
Norris City,1950,781
Joliet,1948,485
Chicago,1950,13
Peoria,1996,13
Cairo,2002,2431
Chicago,1983,1067
Chicago,1950,686
Chicago,1997,8717
Chicago,2020,10
Chicago,1954,420
Libertyville,2017,2177
Chicago,2023,2336
Murphysboro,1970,11549
Chicago,2021,2566
Chicago,1991,1455
Chicago,1998,389
Quincy,2003,64
Chicago,1955,1436
Chicago,2015,3175
Chicago,2020,416
Naperville,2012,4478
Chicago,2022,4380
Chicago,1982,4471
Chicago,1950,321
Gurnee,2018,147
Washington,2018,82
Libertyville,2024,11
East Peoria,1984,3011
Chicago,1950,226
Granite City,1958,6384
Quincy,1966,2319
Chicago,1983,7645
Joliet,2007,2
Chicago,1969,332
Maywood,2018,2
Springfield,1949,2
Rock Island,2021,679
Chicago,1955,3141
Chicago,1952,692
Aurora,1952,11
Eldorado,1969,786
Chicago,2013,8032
Chicago,1996,9377
Elgin,1974,7577
Chicago,1982,5541
Dixon,2023,1159
Chicago,2024,12573
Chicago,1948,540
Princeton,1962,398
Chicago,1978,12377
Trenton,1989,1491
Chicago,1964,3291
Oak Park,2021,3320
Kankakee,1991,17287
Chicago,2012,4189
Chicago,2012,954
Chicago Heights,1963,4
McLeansboro,1976,10571
Sandwich,1950,726
Peoria,1976,3298
Chicago,2004,33
Chicago,1960,1619
Evanston,1991,71
Chicago,2008,143
Hickory Hills,2024,2738
Blue Island,1950,783
